,branch,synset,glossary,expert_certainty,old_bl_label,blness,accuracy,p1_rt,p1_acc,p2_rt,p2_acc,p3_rt,p3_acc,p4_rt,p4_acc,p5_rt,p5_acc,p6_rt,p6_acc,p7_rt,p7_acc,p8_rt,p8_acc,p9_rt,p9_acc,p10_rt,p10_acc,p11_rt,p11_acc,p12_rt,p12_acc,p13_rt,p13_acc,p14_rt,p14_acc,p15_rt,p15_acc,p16_rt,p16_acc,p17_rt,p17_acc,p18_rt,p18_acc,p19_rt,p19_acc,p20_rt,p20_acc,p21_rt,p21_acc,p22_rt,p22_acc,p23_rt,p23_acc,p24_rt,p24_acc,sample_mean_rt,sample_median_rt,sample_mean_acc,sample_std_deviation
68,musical_instrument.n.01,acoustic_guitar.n.01,sound is not amplified by electrical means,True,0,0.5,1.0,551.0,1.0,410.5,1.0,518.5,1.0,594.0,1.0,427.5,1.0,466.5,1.0,430.5,1.0,603.5,1.0,1148.5,1.0,530.5,1.0,606.0,1.0,501.5,1.0,586.0,0.5,596.0,1.0,418.5,1.0,492.5,1.0,455.5,1.0,472.0,1.0,633.5,1.0,666.0,0.5,409.0,1.0,522.5,1.0,361.0,1.0,843.5,1.0,551.8541666666666,520.5,0.9583333333333334,165.16819353555059
31,edible_fruit.n.01,apple.n.01,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh,True,1,1.0,1.0,437.5,1.0,630.0,1.0,469.5,1.0,405.5,1.0,540.5,1.0,340.0,1.0,430.5,1.0,638.0,1.0,697.0,1.0,506.0,1.0,514.5,1.0,516.5,1.0,612.5,1.0,407.5,1.0,440.0,1.0,486.5,1.0,586.0,1.0,515.5,1.0,819.5,1.0,623.5,1.0,382.0,1.0,506.0,1.0,450.0,1.0,652.0,1.0,525.2708333333334,510.25,1.0,113.31170736231238
96,furniture.n.01,armchair.n.01,chair with a support on each side for arms,True,0,0.5,1.0,835.0,1.0,447.5,1.0,542.5,1.0,542.5,1.0,1324.0,1.0,395.5,1.0,494.0,1.0,512.0,1.0,927.0,1.0,575.0,1.0,487.0,1.0,582.0,1.0,624.0,1.0,482.0,1.0,460.0,1.0,816.5,1.0,1575.5,1.0,607.0,1.0,762.0,1.0,467.5,1.0,470.0,1.0,505.5,1.0,633.5,0.5,508.5,1.0,649.0,542.5,0.9791666666666666,283.21442944080064
90,furniture.n.01,armoire.n.01,a large wardrobe or cabinet; originally used for storing weapons,True,0,0.0,1.0,681.5,1.0,491.5,0.5,572.5,0.5,649.5,1.0,694.0,0.5,495.5,1.0,434.5,1.0,884.0,1.0,1006.0,0.5,563.0,0.5,792.0,0.5,648.0,0.5,666.0,1.0,439.0,1.0,601.5,0.5,763.0,0.5,1018.0,0.5,557.5,1.0,1036.5,1.0,415.5,0.5,559.0,1.0,417.5,1.0,616.0,0.5,555.0,0.5,648.1875,608.75,0.7291666666666666,185.83383253653622
5,hand_tool.n.01,awl.n.01,a pointed tool for marking surfaces or for punching small holes,True,1,0.5,1.0,663.5,1.0,710.5,0.5,614.5,0.0,803.5,0.5,702.5,0.5,523.0,1.0,902.0,1.0,955.5,0.5,914.5,0.5,588.0,0.5,560.5,1.0,919.0,1.0,681.0,0.5,563.5,1.0,462.0,1.0,752.5,0.5,954.5,0.5,508.5,0.5,1118.0,0.5,863.5,0.5,454.0,0.5,649.0,0.5,587.5,1.0,714.5,0.5,715.2291666666666,691.75,0.6458333333333334,178.71151024745868
105,furniture.n.01,baby_bed.n.01,a small bed for babies; enclosed by sides to prevent the baby from falling,False,1,1.0,0.5,523.5,1.0,505.0,1.0,412.5,1.0,474.0,0.5,550.0,1.0,420.5,1.0,450.5,1.0,533.5,1.0,955.0,1.0,486.0,1.0,873.5,1.0,575.0,1.0,495.5,1.0,416.5,1.0,479.5,1.0,748.5,1.0,893.0,1.0,655.0,1.0,730.0,1.0,544.0,1.0,492.5,1.0,690.5,1.0,788.0,1.0,579.5,1.0,594.6458333333334,538.75,0.9791666666666666,159.72098492484423
71,musical_instrument.n.01,bagpipe.n.01,a tubular wind instrument; the player blows air into a bag and squeezes it out through the drone,True,1,0.5,1.0,1007.5,1.0,473.0,1.0,609.5,0.5,641.0,1.0,500.5,1.0,590.5,0.5,562.0,1.0,559.0,1.0,728.0,1.0,611.5,1.0,518.5,1.0,695.0,1.0,620.0,1.0,616.5,1.0,553.5,1.0,628.5,1.0,736.0,1.0,483.0,1.0,1460.0,1.0,683.5,1.0,567.0,0.5,662.0,0.5,643.5,1.0,873.0,0.0,667.6041666666666,618.25,0.875,206.7687207846669
78,musical_instrument.n.01,bass_clarinet.n.01,a large clarinet whose range is an octave below the B-flat clarinet,True,0,0.0,1.0,982.0,1.0,691.0,0.5,738.0,1.0,619.5,1.0,740.0,1.0,1061.0,1.0,643.5,1.0,581.5,1.0,598.0,1.0,748.5,1.0,938.5,1.0,1125.0,0.5,729.5,1.0,446.0,1.0,724.0,0.5,1075.0,1.0,1227.5,1.0,738.5,1.0,1580.5,1.0,1030.5,0.5,644.0,1.0,1190.0,1.0,828.0,0.5,949.5,1.0,859.5625,744.25,0.8958333333333334,261.15214258375704
53,musical_instrument.n.01,bass_horn.n.01,the lowest brass wind instrument,True,1,0.5,1.0,718.5,1.0,678.0,1.0,544.0,1.0,833.5,1.0,696.0,1.0,454.5,1.0,518.5,1.0,556.0,1.0,1432.0,1.0,686.5,1.0,617.5,1.0,1011.0,1.0,777.5,1.0,582.0,1.0,514.5,1.0,795.5,1.0,1038.0,1.0,842.0,1.0,1360.5,0.5,677.5,0.5,566.0,1.0,614.5,1.0,833.5,0.5,655.5,1.0,750.125,682.25,0.9375,248.1134141967093
73,musical_instrument.n.01,bassoon.n.01,a double-reed instrument; the tenor of the oboe family,False,1,0.5,0.5,919.5,0.5,602.0,1.0,450.0,1.0,1219.5,1.0,454.0,1.0,558.5,1.0,508.0,1.0,703.0,1.0,2077.0,1.0,626.0,1.0,924.5,0.5,1508.5,1.0,1129.5,1.0,499.0,1.0,483.5,1.0,613.5,1.0,703.5,1.0,602.0,1.0,1195.0,1.0,960.5,1.0,584.0,1.0,766.5,1.0,682.0,0.5,720.5,0.5,812.0833333333334,692.5,0.9166666666666666,386.29223187348344
