index,group_index,final,c_name,img,lvl,branch,stim_type,p_id,accurate,react_time
0,10,1,bench_n_01,bongo_n_01,bl,furniture.n.01,False,1,1,1169
1,20,1,clementine_n_02,clementine_n_02,hyponym,edible_fruit.n.01,True,1,1,883
2,14,1,edible_fruit_n_01,nailfile_n_01,hypernym,edible_fruit.n.01,False,1,1,646
3,17,1,cherry_n_03,heart_cherry_n_02,bl,edible_fruit.n.01,True,1,1,626
4,3,1,furniture_n_01,bradawl_n_01,hypernym,furniture.n.01,False,1,1,666
5,16,1,musical_instrument_n_01,bow_tie_n_01,hypernym,musical_instrument.n.01,False,1,1,905
6,6,1,clothing_n_01,grand_piano_n_01,hypernym,clothing.n.01,False,1,1,949
7,5,1,bass_clarinet_n_01,bass_clarinet_n_01,hyponym,musical_instrument.n.01,True,1,1,985
8,2,1,putty_knife_n_01,spinet_n_02,hyponym,hand_tool.n.01,False,1,1,605
9,18,1,edible_fruit_n_01,turtleneck_n_01,hypernym,edible_fruit.n.01,False,1,1,566
10,15,1,bow_tie_n_01,bow_tie_n_01,hyponym,clothing.n.01,True,1,1,860
11,1,1,wrench_n_03,crescent_wrench_n_01,bl,hand_tool.n.01,True,1,1,966
12,7,1,edible_fruit_n_01,spade_n_02,hypernym,edible_fruit.n.01,False,1,1,583
13,11,1,contrabassoon_n_01,bathrobe_n_01,hyponym,musical_instrument.n.01,False,1,1,1262
14,12,1,coffee_table_n_01,coffee_table_n_01,hyponym,furniture.n.01,True,1,1,1394
15,8,1,bathrobe_n_01,bathrobe_n_01,hyponym,clothing.n.01,True,1,1,672
16,13,1,crescent_wrench_n_01,floor_lamp_n_01,hyponym,hand_tool.n.01,False,1,1,940
17,19,1,coat_n_01,raincoat_n_01,bl,clothing.n.01,True,1,1,592
18,4,1,pliers_n_01,contrabassoon_n_01,bl,hand_tool.n.01,False,1,1,943
19,9,1,cherry_n_03,tank_top_n_01,bl,edible_fruit.n.01,False,1,1,450
20,18,1,scarf_n_01,muffler_n_02,bl,clothing.n.01,True,1,1,573
21,19,1,file_n_04,bass_clarinet_n_01,bl,hand_tool.n.01,False,1,1,493
22,5,1,bassoon_n_01,business_suit_n_01,bl,musical_instrument.n.01,False,1,0,721
23,6,1,apple_n_01,granny_smith_n_01,bl,edible_fruit.n.01,True,1,1,409
24,20,1,shovel_n_01,spade_n_02,bl,hand_tool.n.01,True,1,0,554
25,11,1,grape_n_01,brick_trowel_n_01,bl,edible_fruit.n.01,False,1,0,876
