partic_id,accuracy,total_time,active_train_time,active_exp_time,eng_native,eng_born
1,0.8737,12,0.0,4.22,0,0
2,0.8939,11,0.0,3.43,0,0
3,0.8535,11,0.0,3.48,0,0
4,0.8535,13,0.0,4.42,0,0
5,0.9192,12,0.0,4.26,0,0
6,0.9444,12,0.0,3.12,0,0
7,0.9343,12,0.0,3.56,0,0
8,0.8838,13,0.0,4.72,1,1
9,0.9242,13,0.0,5.21,0,0
10,0.8737,14,0.0,3.86,0,0
11,0.9444,14,0.0,4.83,0,0
12,0.9242,13,0.0,4.81,0,0
13,0.9192,13,0.0,4.75,0,0
14,0.899,16,0.0,3.36,0,0
15,0.9141,13,0.0,3.48,1,0
16,0.904,13,0.0,4.37,0,0
17,0.9293,14,0.0,6.31,0,0
18,0.9091,15,0.0,3.96,0,0
19,0.8788,24,0.0,7.15,0,0
20,0.8889,12,0.0,4.62,0,0
21,0.8737,16,0.0,3.53,0,0
22,0.8485,50,0.0,4.25,0,0
23,0.8131,11,0.0,4.08,0,0
24,0.8333,37,0.0,4.4,0,0
